row,col,rep,line,grid,entry,name,breeder,irrigation,Tier,Row,Name/Code,Breeder,Weight per row (lbs),cc_0412,cc_0415,cc_0427,cc_0506,cc_0516,cc_0520,cc_0523,cc_0527,cc_0531,cc_0602,cc_0607,cc_0614,cc_0617,cc_0620,cc_0623,cc_0627,cc_0630,cc_0708,cc_0713,cc_0716,cc_0719,cc_0721,cc_0725,cc_0728,cc_0802,cc_0808,cc_0812
2,9,411.000000,2,1,C,PHY_499,Visual_Check,Yes,6,18,PHY499,Visual Check,9.598000,0.136371,0.288262,4.216653,6.351338,42.816160,53.188304,65.110779,62.916845,76.232452,70.793450,95.840111,97.696395,99.044645,100.175023,97.753274,100.141793,100.221268,99.526597,100.440841,98.675688,100.608185,99.087547,99.557668,97.808730,90.062576,64.301881,57.233525
2,10,412.000000,1,1,27,STV_6182,Commercial,Yes,6,19,STV 6182,Commercial,7.894000,0.038235,0.426126,1.677753,2.886794,31.165192,41.123181,51.929860,57.251842,71.346590,68.112445,96.513031,96.015283,98.212770,99.236332,95.031434,99.444026,99.432380,98.671178,99.844132,96.717542,100.367264,96.941432,99.005221,97.755164,91.081882,74.469606,65.398545
2,10,412.000000,2,1,27,STV_6182,Commercial,Yes,6,20,STV 6182,Commercial,7.020000,0.001274,0.001790,0.352625,1.061494,14.673212,21.995982,34.330977,47.309772,63.163236,64.212622,90.437929,92.681357,96.970479,96.489927,91.464047,96.798353,98.912227,97.808466,98.762878,96.760444,99.606173,94.766015,96.593512,94.137829,87.637291,70.473978,64.162657
2,11,413.000000,1,1,11,13-2-501FQ,Dever,Yes,6,21,13-2-501FQ,Dever ,8.300000,0.317350,0.238129,1.920879,3.805319,28.651870,40.867782,52.995655,58.213405,72.902449,69.788563,92.784521,88.717789,96.540738,97.489581,89.891950,97.907268,96.648921,97.820969,99.603654,98.735444,99.963904,98.562393,99.566911,97.451837,93.134526,73.472270,70.077285
2,11,413.000000,2,1,11,13-2-501FQ,Dever,Yes,6,22,13-2-501FQ,Dever ,7.382000,0.277840,0.164721,2.362588,5.428895,31.674114,42.962449,54.083561,57.980231,69.978828,65.943696,92.045721,90.875555,96.208541,96.706405,90.881634,96.712785,97.911590,97.784501,100.024491,99.107767,100.347187,99.075208,99.416179,98.516708,94.497238,74.901523,67.576114
2,12,414.000000,1,1,C,PHY_499,Visual_Check,Yes,6,23,PHY499,Visual Check,7.738000,0.193724,0.281100,1.618363,1.402269,30.889874,44.427528,54.355538,57.780368,69.649078,65.311717,92.605704,95.083199,97.751742,99.371319,92.830833,97.898224,99.348015,98.032479,99.739147,97.567145,99.261218,97.319297,97.179375,94.656066,85.732379,56.339682,51.992055
2,12,414.000000,2,1,C,PHY_499,Visual_Check,Yes,6,24,PHY499,Visual Check,10.070000,0.219214,0.341975,3.869596,5.254591,45.122994,54.461339,65.743180,69.319120,82.504655,73.533335,96.804787,97.114505,99.116422,99.988405,94.423043,99.744560,99.803917,98.148133,100.239844,97.375620,100.047861,98.069627,97.628727,92.964535,79.979830,49.442748,42.509849
2,13,415.000000,1,1,F,PHY_499,Filler,Yes,6,25,5241,Stelly,8.498000,0.114705,0.433288,3.869596,3.728938,42.786960,55.322568,70.072695,64.260368,77.888165,70.363625,97.036936,97.783943,98.530244,100.207993,95.483957,99.942829,100.076005,98.151258,100.019107,98.200708,100.277831,98.382714,98.132825,95.751270,83.941285,54.891189,46.907091
2,13,415.000000,2,1,F,PHY_499,Filler,Yes,6,26,5241,Stelly,9.078000,0.624504,1.450262,6.670181,8.002333,43.521142,55.682898,67.304282,71.282218,85.836980,76.860058,99.145105,98.934457,99.576530,100.357910,96.581744,100.329627,100.089414,99.178595,100.588896,98.722420,100.212125,98.602492,98.334749,96.268217,83.323075,56.470042,50.386486
2,14,416.000000,1,1,C,PHY_499,Visual_Check,Yes,6,27,PHY499,Visual Check,9.880000,0.249801,0.705436,2.650256,1.780255,36.863446,48.476293,57.780675,63.465358,78.721827,72.086848,97.178108,98.994592,99.111821,100.163826,96.261626,100.113966,100.310102,98.603453,99.160385,97.046965,98.872459,97.027030,96.220237,93.511814,81.052538,56.078961,52.480903
2,14,416.000000,2,1,C,PHY_499,Visual_Check,Yes,6,28,PHY499,Visual Check,6.750000,0.080293,0.134284,1.288009,0.660006,17.582825,26.965371,38.753363,47.629553,65.216041,60.312800,85.324365,93.806226,96.351174,96.010939,93.942028,97.234545,98.306034,95.578750,97.701366,93.736656,98.571308,94.500739,93.649264,86.064170,76.716103,51.145288,48.100874
2,15,417.000000,1,1,F,PHY_499,Filler,Yes,6,29,CA 4003,Dever ,9.316000,0.404016,1.258684,8.661585,4.300813,44.641187,57.389517,72.297155,66.521040,79.896849,69.969129,90.822230,88.845132,97.264948,97.995318,93.585038,99.135144,97.769679,97.327097,99.063476,94.971606,99.095129,94.654198,93.112460,88.195203,77.847669,50.118895,47.849300
2,15,417.000000,2,1,F,PHY_499,Filler,Yes,6,30,CA 4003,Dever ,9.484000,0.511073,0.587267,6.386225,3.192316,40.171436,52.146910,65.093090,67.968935,81.638482,73.421463,96.480091,96.538806,99.246172,99.393713,96.372242,99.887174,99.952532,98.545105,99.466366,96.604926,100.009533,97.377133,95.538389,91.502757,81.392826,49.572324,48.655925
2,16,418.000000,1,1,C,PHY_499,Visual_Check,Yes,6,31,PHY499,Visual Check,8.356000,0.467741,0.585476,6.120828,1.803756,36.827988,51.671749,61.371652,59.743466,72.858328,68.265533,97.060465,94.436753,97.501443,97.842290,95.619714,100.015875,99.822354,96.862399,99.649417,96.240264,100.104441,97.544473,97.119651,92.877409,85.789678,66.455577,63.036931
2,16,418.000000,2,1,C,PHY_499,Visual_Check,Yes,6,32,PHY499,Visual Check,8.118000,0.562053,0.100265,1.906031,0.859771,22.874358,36.648751,49.548405,54.824618,72.507679,68.752274,96.084809,97.164028,98.497117,99.060910,92.291158,99.889957,99.931301,96.113256,99.689796,95.285706,100.310684,96.677699,96.276406,90.009356,80.478374,56.526977,53.874091
2,17,419.000000,1,1,F,PHY_499,Filler,Yes,6,33,5235,Stelly,9.358000,0.180979,0.488792,2.373723,1.419895,27.221050,40.164940,49.597051,55.166605,71.834248,65.790608,89.314827,95.823383,97.674444,97.902630,94.917466,99.592901,99.972645,95.309933,95.168271,91.688111,95.912053,93.408788,93.534793,88.837998,83.115706,64.830783,59.436251
2,17,419.000000,2,1,F,PHY_499,Filler,Yes,6,34,5235,Stelly,6.914000,0.019117,0.057294,1.085714,1.220131,8.887357,17.539370,25.638779,40.243508,54.870739,54.405168,79.156716,87.533670,94.717791,94.292182,90.303411,97.946226,98.290949,96.843645,99.067065,96.336026,100.062462,97.943929,98.369588,95.198182,85.815404,65.431933,59.477562
2,18,420.000000,1,1,C,PHY_499,Visual_Check,Yes,6,35,PHY499,Visual Check,10.424000,0.075195,0.145026,1.275018,0.861729,18.942730,31.125008,38.339870,47.856064,65.378593,60.208779,80.027277,87.825499,97.989158,96.831439,95.712732,99.269410,98.327824,95.486019,96.031479,92.568357,96.753451,94.582481,91.305100,84.957995,74.026929,46.599162,38.876067
