cv0412,cv0415,cv0427,cv0506,cv0516,cv0520,cv0523,cv0527,cv0531,cv0602,cv0614,cv0617,cv0620,cv0623,cv0627,cv0630,cv0708,cv0713,cv0716,cv0719,cv0721,cv0725,cv0728,cv0802,cv0808,cv0812
0.043505,0.0,0.000856,0.014621,0.036355,0.096256,0.172134,0.143987,0.17847,0.24327,0.181816,0.242827,0.367296,0.373592,0.448067,0.531114,0.431538,0.390177,0.48035,0.460509,0.423993,0.374421,0.370593,0.273182,0.035739,0.00024
0.042667,0.0,1e-06,0.020837,0.067562,0.132467,0.218111,0.22496,0.301621,0.35186,0.406543,0.482562,0.538213,0.582069,0.637241,0.636104,0.578172,0.6168,0.66042,0.636699,0.617668,0.540232,0.464491,0.411676,0.033618,0.003028
0.041722,0.0,1.8e-05,0.019329,0.095155,0.184703,0.279973,0.299185,0.391473,0.472717,0.611281,0.71664,0.798941,0.813609,0.853794,0.850468,0.788097,0.783815,0.804225,0.774289,0.763439,0.72857,0.693659,0.643331,0.1341,0.002342
0.036736,0.0,0.0,0.01688,0.075509,0.146171,0.225098,0.243437,0.358674,0.4286,0.627388,0.720926,0.807827,0.800198,0.823607,0.844615,0.791185,0.775333,0.781135,0.758613,0.751139,0.702813,0.763179,0.651429,0.028752,8.3e-05
0.039482,0.0,5.2e-05,0.025007,0.118789,0.20266,0.26718,0.319251,0.428025,0.536554,0.755535,0.831276,0.892561,0.888633,0.922329,0.925824,0.858229,0.824388,0.866545,0.827019,0.812456,0.744944,0.600191,0.679577,0.005985,0.000845
0.038251,0.0,2e-06,0.008378,0.051662,0.112982,0.189916,0.196233,0.277058,0.361311,0.446493,0.512805,0.59115,0.5747,0.614116,0.667566,0.602059,0.552811,0.585714,0.558279,0.547355,0.514576,0.472664,0.336095,0.056088,0.001826
0.035599,0.0,1e-06,0.021785,0.109672,0.1945,0.280415,0.312894,0.431846,0.485593,0.682943,0.799706,0.884819,0.908759,0.954057,0.926283,0.881494,0.843088,0.888141,0.847328,0.837548,0.773922,0.697377,0.546005,0.048674,0.000748
0.034308,0.0,0.0,0.028555,0.116784,0.192055,0.26752,0.320796,0.438801,0.515155,0.749924,0.852697,0.907029,0.902635,0.936361,0.93057,0.878417,0.864673,0.891025,0.857208,0.859265,0.80551,0.842818,0.710619,0.001349,0.002908
0.032036,0.0,0.0,0.016679,0.093694,0.168741,0.23625,0.281188,0.397635,0.493189,0.742978,0.838948,0.892046,0.891423,0.919025,0.924191,0.876846,0.838274,0.883909,0.840499,0.848316,0.804079,0.838986,0.665312,0.0,0.001102
0.0305,0.0,0.0,0.0161,0.086183,0.153843,0.214245,0.262921,0.375728,0.460904,0.682327,0.767408,0.835215,0.827283,0.862316,0.868761,0.809074,0.782482,0.821924,0.775426,0.773697,0.702901,0.738896,0.67461,0.002127,0.00015
0.031631,0.0,0.0,0.014769,0.069411,0.120846,0.17593,0.203799,0.296954,0.355855,0.514649,0.597275,0.693326,0.680412,0.729378,0.77395,0.714919,0.650394,0.714167,0.669556,0.656797,0.602295,0.664614,0.582253,0.038374,0.000171
0.030876,0.0,0.0,0.010847,0.053955,0.093556,0.139511,0.164635,0.236953,0.297271,0.459145,0.554521,0.650586,0.656026,0.714376,0.718062,0.693899,0.67061,0.691169,0.650204,0.654302,0.60419,0.672012,0.540796,0.100398,0.00044
0.034836,0.0,0.0,0.019724,0.087169,0.143409,0.198411,0.229712,0.306815,0.373878,0.58154,0.686883,0.785731,0.768581,0.818231,0.836343,0.77962,0.721387,0.757787,0.718566,0.718457,0.683271,0.620986,0.588807,0.14983,0.000124
0.033458,0.0,0.0,0.011014,0.053331,0.089544,0.129348,0.139363,0.205255,0.247187,0.366904,0.455489,0.515846,0.502963,0.538985,0.605662,0.56784,0.490047,0.567572,0.544765,0.550871,0.478249,0.503815,0.449615,0.109614,0.000233
0.029296,0.0,0.0,0.020111,0.099322,0.171743,0.23714,0.287539,0.403752,0.467348,0.698636,0.825127,0.900298,0.897009,0.932228,0.92163,0.847505,0.782834,0.847136,0.818392,0.830394,0.762872,0.751358,0.640134,0.074995,3.4e-05
0.025633,0.0,0.0,0.022401,0.096904,0.165981,0.232623,0.292751,0.394342,0.467953,0.699635,0.791185,0.852753,0.839514,0.875181,0.877762,0.822083,0.754482,0.82127,0.79905,0.802423,0.760536,0.751952,0.667181,0.165739,8.4e-05
0.020774,0.0,0.0,0.011951,0.077792,0.151335,0.224261,0.268526,0.377412,0.452183,0.68937,0.781248,0.844217,0.83481,0.876759,0.876474,0.818519,0.73349,0.840787,0.803371,0.7983,0.771542,0.768579,0.68852,0.167413,0.000453
0.018362,0.0,0.0,0.016935,0.087963,0.158782,0.233291,0.295361,0.405069,0.489078,0.643137,0.742156,0.831441,0.795358,0.856238,0.880528,0.784977,0.763097,0.801039,0.747996,0.751974,0.68384,0.703877,0.582661,0.042927,0.000829
0.018885,0.0,0.0,0.003113,0.079978,0.193946,0.326155,0.413766,0.482537,0.518408,0.36271,0.463648,0.577454,0.622903,0.635631,0.727384,0.697484,0.680751,0.689055,0.66754,0.646483,0.583001,0.672837,0.524565,0.034236,0.011974
0.020247,0.0,0.0,0.025009,0.11909,0.234978,0.341215,0.392073,0.512101,0.596211,0.736467,0.828337,0.92384,0.934589,0.960431,0.966022,0.899713,0.864441,0.914804,0.874321,0.884423,0.85682,0.857908,0.652242,0.112739,0.00342
0.017887,0.0,0.0,0.022793,0.105355,0.199123,0.278518,0.334018,0.46577,0.536289,0.775656,0.863426,0.929919,0.931974,0.958576,0.960139,0.916506,0.868372,0.922792,0.882616,0.894466,0.866494,0.865725,0.729745,0.302663,0.000321
0.021777,0.0,0.0,0.033368,0.128198,0.224381,0.302544,0.356588,0.510537,0.578518,0.799277,0.880211,0.942453,0.94671,0.971456,0.963729,0.921286,0.856241,0.916531,0.872684,0.903334,0.822761,0.910815,0.810264,0.377778,0.000393
0.022498,0.0,0.0,0.028198,0.120714,0.211671,0.281852,0.375167,0.538871,0.601547,0.81299,0.906381,0.980814,0.976552,0.995926,0.98886,0.931919,0.922145,0.95657,0.907639,0.94277,0.890775,0.936956,0.795734,0.279484,0.000141
0.025587,0.0,0.0,0.024998,0.111085,0.198599,0.265051,0.349122,0.517273,0.570293,0.78629,0.884589,0.955098,0.95272,0.964583,0.971794,0.910905,0.887423,0.902641,0.858687,0.900208,0.758264,0.863925,0.756933,0.133843,0.003303
0.025063,0.0,2.2e-05,0.028437,0.119592,0.201848,0.269081,0.342123,0.486078,0.560196,0.772737,0.862564,0.925763,0.921818,0.93925,0.939177,0.869309,0.882297,0.90278,0.845561,0.870006,0.786229,0.781703,0.74674,0.057372,0.000664
0.027758,0.0,6e-06,0.023603,0.111858,0.188516,0.257695,0.32425,0.469799,0.556831,0.760372,0.834939,0.894382,0.88656,0.90471,0.915785,0.853826,0.836738,0.858494,0.80657,0.835863,0.788781,0.696435,0.65858,0.004325,0.000119
0.029286,0.0,6.3e-05,0.030681,0.11715,0.199254,0.281705,0.323041,0.427891,0.490659,0.702609,0.788597,0.860019,0.849316,0.867723,0.882818,0.819513,0.819829,0.832747,0.768842,0.801515,0.665164,0.592378,0.524996,0.000172,0.001067
0.031035,0.0,1.9e-05,0.023606,0.117904,0.192793,0.269582,0.308457,0.398997,0.47899,0.629482,0.751674,0.892402,0.844899,0.900113,0.919828,0.765859,0.782289,0.783656,0.700793,0.729017,0.483294,0.343338,0.305806,0.001074,0.000409
0.028193,0.0,2.4e-05,0.008123,0.042629,0.093068,0.161129,0.191594,0.290697,0.349131,0.289375,0.359349,0.464802,0.453056,0.506103,0.540903,0.460079,0.479322,0.447515,0.421771,0.462772,0.273551,0.203939,0.136114,0.001547,0.003494
0.069947,0.001349,0.00789,0.055369,0.138774,0.212275,0.273463,0.347289,0.512349,0.602213,0.797345,0.928693,0.981262,1.003782,1.030074,1.019918,0.986004,0.977439,1.004911,0.992595,0.998233,0.957059,0.950086,0.966048,0.613666,0.001532
0.065349,0.000193,0.004108,0.044639,0.117451,0.195669,0.247318,0.324721,0.471414,0.569781,0.785457,0.868227,0.9137,0.938996,0.970116,0.969006,0.935981,0.895343,0.947168,0.923329,0.931286,0.859025,0.861298,0.838808,0.689818,0.000462
0.06319,1.7e-05,0.003084,0.044503,0.136005,0.224422,0.287877,0.38234,0.512942,0.589955,0.760037,0.850763,0.893516,0.933542,0.967364,0.967461,0.971357,0.920882,0.971564,0.926098,0.942333,0.915706,0.893111,0.898259,0.763954,0.001695
0.062413,0.000275,0.001666,0.048702,0.150119,0.239051,0.313644,0.422787,0.539692,0.615482,0.799343,0.873271,0.923834,0.955353,0.985833,0.984572,0.976871,0.926075,0.985417,0.937164,0.945747,0.900348,0.902346,0.885233,0.84335,0.002126
0.061895,0.000255,0.00184,0.056208,0.161529,0.256795,0.330232,0.458936,0.593102,0.677361,0.793547,0.905833,0.957533,0.986758,1.018908,1.004292,0.97423,0.928194,0.96579,0.939955,0.952263,0.926667,0.893421,0.918355,0.881229,0.002169
0.057299,1.6e-05,0.001365,0.049521,0.152134,0.228202,0.274756,0.388183,0.491071,0.619098,0.789153,0.842078,0.888514,0.909776,0.943962,0.946946,0.901783,0.843706,0.898181,0.873323,0.878845,0.847334,0.850424,0.84162,0.789161,0.002477
0.056368,0.0,0.000405,0.013855,0.035238,0.074016,0.094037,0.132418,0.21578,0.324183,0.557181,0.614644,0.710936,0.724371,0.764346,0.778981,0.756765,0.708036,0.762206,0.745269,0.741684,0.693237,0.716635,0.680588,0.56976,0.001072
0.060371,0.0,0.000929,0.015843,0.023815,0.057473,0.083848,0.121223,0.201507,0.277393,0.437198,0.55664,0.688372,0.720475,0.764929,0.777032,0.76636,0.71658,0.783412,0.762353,0.762692,0.717932,0.723598,0.730221,0.547252,0.004126
0.056683,0.0,0.001514,0.019325,0.068767,0.12696,0.158179,0.220242,0.355899,0.412725,0.540064,0.714481,0.810618,0.837577,0.892424,0.878973,0.830728,0.787131,0.861741,0.812061,0.820331,0.70132,0.741051,0.673202,0.351829,0.004745
0.04833,0.0,0.00024,0.014449,0.063206,0.122735,0.161022,0.234406,0.39105,0.434229,0.654692,0.749197,0.819719,0.829171,0.872075,0.86141,0.861662,0.839239,0.884496,0.829059,0.840141,0.751741,0.832106,0.783009,0.549398,0.00064
0.051468,0.0,0.000415,0.040917,0.139751,0.224734,0.301971,0.394384,0.54463,0.626164,0.772841,0.893412,0.951729,0.995991,1.033363,1.005993,1.002972,0.963142,1.008863,0.965838,0.986958,0.972647,0.94103,0.962795,0.736781,0.003261
0.050955,0.0,0.000161,0.031963,0.125043,0.207971,0.281661,0.407103,0.526111,0.621596,0.807714,0.897171,0.954817,0.982719,1.021834,0.998454,0.987115,0.967166,0.991846,0.951401,0.969466,0.955162,0.937277,0.960801,0.741463,0.003368
0.046314,0.0,0.000153,0.035469,0.122533,0.204284,0.254834,0.348874,0.493476,0.577426,0.775361,0.884492,0.926438,0.949913,0.979479,0.94953,0.921213,0.887976,0.963329,0.918709,0.930787,0.890891,0.905583,0.896809,0.643188,0.0001
0.039561,0.0,2e-06,0.024944,0.107617,0.179317,0.229472,0.336223,0.448417,0.568648,0.777374,0.852399,0.897602,0.922684,0.958756,0.940635,0.8878,0.789751,0.903371,0.884855,0.888226,0.855363,0.790694,0.801956,0.394144,0.00111
0.030734,0.0,5e-06,0.006143,0.04183,0.080038,0.107047,0.160662,0.217009,0.325042,0.507486,0.58027,0.654426,0.660626,0.728028,0.737131,0.689804,0.661901,0.686522,0.655904,0.641831,0.555879,0.538269,0.40483,0.101035,0.003365
0.030795,0.0,0.0,0.001914,0.016814,0.042771,0.055572,0.108505,0.168863,0.262063,0.429163,0.533392,0.644202,0.630581,0.690024,0.728529,0.67732,0.667347,0.693814,0.666263,0.64687,0.582323,0.555909,0.466637,0.129992,0.004494
0.027354,0.0,0.0,0.001505,0.0272,0.065098,0.092981,0.151975,0.239001,0.314525,0.464464,0.589739,0.646318,0.687211,0.734972,0.699308,0.729531,0.713013,0.745657,0.70041,0.716173,0.687427,0.661766,0.641992,0.335044,0.000663
0.026545,0.0,0.0,0.002723,0.028145,0.066057,0.099973,0.166401,0.258416,0.358005,0.560474,0.681988,0.74181,0.781891,0.825548,0.813644,0.797664,0.749462,0.816055,0.789319,0.790043,0.779595,0.73651,0.733947,0.590468,0.002377
0.020447,0.0,0.0,2.6e-05,0.006911,0.031991,0.063402,0.101926,0.195736,0.254634,0.504229,0.629507,0.675413,0.722637,0.767938,0.759776,0.761173,0.738951,0.786653,0.76519,0.77097,0.755726,0.70855,0.724224,0.731891,0.00021
