ch0412,ch0415,ch0427,ch0506,ch0516,ch0520,ch0523,ch0527,ch0531,ch0602,ch0614,ch0617,ch0620,ch0623,ch0627,ch0630,ch0708,ch0713,ch0716,ch0719,ch0721,ch0725,ch0728,ch0802,ch0808,ch0812
0.066548,0.0,0.020814,0.087457,0.179598,0.254763,0.344038,0.368996,0.406006,0.462925,0.722777,0.797955,0.901263,0.908837,0.98805,0.999771,1.017353,0.993736,1.006124,0.929338,0.982384,0.964811,0.893585,0.93856,0.375205,0.052625
0.068068,0.0,0.000562,0.152189,0.242937,0.357828,0.446982,0.533444,0.637273,0.665637,0.89882,1.001445,1.062655,1.102131,1.149757,1.121086,1.100788,1.142473,1.105999,1.01108,1.072478,1.081487,0.966257,1.111134,0.374085,0.112221
0.072107,0.0,0.00253,0.164959,0.332911,0.433043,0.548352,0.619123,0.695782,0.734929,0.98623,1.067814,1.126875,1.142878,1.178698,1.157647,1.13999,1.146392,1.13956,1.05974,1.121856,1.12147,1.03873,1.139911,0.361143,0.096566
0.065176,0.0,0.0,0.119727,0.284074,0.387223,0.487205,0.538036,0.636401,0.681027,0.994167,1.071328,1.123174,1.136057,1.173022,1.165342,1.212743,1.182862,1.122037,1.037859,1.116505,1.156959,1.088242,1.133062,0.217185,0.01822
0.068564,0.0,0.003399,0.166203,0.360714,0.47598,0.583591,0.644915,0.729649,0.772461,1.073084,1.126618,1.179527,1.186709,1.207858,1.189685,1.160133,1.167481,1.153481,1.10217,1.149263,1.162504,0.995568,1.174312,0.141491,0.071136
0.064388,0.0,0.000471,0.090832,0.211483,0.31174,0.417011,0.460678,0.548621,0.599784,0.883689,0.976153,1.089382,1.080443,1.09882,1.135987,1.111739,1.099038,1.08545,1.003636,1.0617,1.057902,0.832834,0.955818,0.30908,0.073652
0.062382,0.0,0.000478,0.151805,0.33785,0.435161,0.553781,0.619126,0.707898,0.751413,1.066409,1.132696,1.205125,1.224161,1.26042,1.228846,1.21127,1.238195,1.190162,1.106782,1.177346,1.184149,1.067694,1.104883,0.268353,0.034778
0.0646,0.0,0.0,0.171905,0.350407,0.447346,0.576634,0.637716,0.70379,0.744219,1.048741,1.115552,1.183302,1.187675,1.231207,1.19757,1.177476,1.224486,1.171061,1.110369,1.160558,1.178338,1.099836,1.138025,0.014311,0.074536
0.056731,0.0,0.0,0.131596,0.316438,0.412831,0.52962,0.599461,0.677423,0.719173,1.079808,1.134579,1.199343,1.206538,1.231408,1.205836,1.17959,1.213923,1.190336,1.096791,1.169937,1.175019,1.059358,1.096728,0.000382,0.074403
0.056272,0.0,0.0,0.143773,0.309526,0.408164,0.528851,0.587356,0.665407,0.70543,1.007005,1.070868,1.127356,1.146429,1.166272,1.145376,1.132643,1.222485,1.118273,1.032855,1.111686,1.124058,0.999546,1.099657,0.108984,0.067658
0.060929,0.0,0.0,0.120876,0.26184,0.338814,0.452345,0.494575,0.561853,0.595436,0.888489,0.935144,1.027163,1.025101,1.076361,1.062743,1.018775,1.057132,1.036445,0.960195,1.017288,1.015452,0.951001,1.012367,0.186012,0.063971
0.060366,0.0,0.0,0.108493,0.242808,0.310958,0.415373,0.473366,0.525771,0.565773,0.851349,0.9332,1.021301,1.040158,1.100476,1.067905,1.065864,1.106339,1.046867,0.97218,1.036784,1.033945,0.964366,1.011411,0.314275,0.109047
0.06819,0.0,0.0,0.157047,0.322978,0.40778,0.516425,0.564032,0.627968,0.677582,0.961956,1.031628,1.10871,1.106848,1.150746,1.134169,1.082529,1.133024,1.084599,0.998885,1.075126,1.069439,0.976428,1.08534,0.557951,0.028562
0.060966,0.0,0.0,0.083537,0.191112,0.247619,0.336084,0.366517,0.430688,0.471295,0.647449,0.743746,0.990793,0.893569,1.042106,1.068105,1.023182,0.944246,1.096179,1.007575,1.054154,1.024705,0.910606,1.034198,0.36085,0.051225
0.06166,0.0,0.0,0.149578,0.326502,0.404667,0.537324,0.609399,0.688477,0.735193,1.079608,1.128209,1.211446,1.213285,1.258955,1.235628,1.209039,1.215817,1.163013,1.103818,1.144631,1.176729,1.097688,1.187767,0.236742,0.011088
0.058626,0.0,0.0,0.156707,0.329697,0.422143,0.542796,0.596956,0.66691,0.70591,1.014297,1.083564,1.138902,1.135396,1.154562,1.129349,1.128247,1.152625,1.113679,1.047192,1.105589,1.167824,1.079742,1.086627,0.387042,0.063615
0.048977,0.0,0.0,0.133126,0.301188,0.389054,0.511556,0.581753,0.637678,0.678264,1.009809,1.07282,1.145576,1.142392,1.185985,1.161669,1.146995,1.106513,1.148968,1.075152,1.134965,1.148742,1.083147,1.14927,0.453557,0.078901
0.046892,0.0,0.0,0.144613,0.310211,0.411636,0.526284,0.606356,0.691973,0.718128,0.989983,1.067266,1.139236,1.141065,1.175817,1.154185,1.177253,1.123131,1.126853,1.032825,1.12967,1.119506,1.03443,1.085904,0.270768,0.114083
