NDVI0412,NDVI0422,NDVI0427,NDVI0506,NDVI0516,NDVI0520,NDVI0531,NDVI0614,NDVI0620,NDVI0623,NDVI0627,NDVI0716,NDVI0721,NDVI0725,NDVI0802,NDVI0808,NDVI0812,NDVI0818
0.222642,0.211755,0.306648,0.383837,0.458834,0.441543,0.54026,0.58506,0.520279,0.577582,0.50052,0.55275,0.534976,0.521683,0.49372,0.511467,0.434289,0.408134
0.224489,0.251474,0.308042,0.424664,0.472653,0.422622,0.509075,0.5676,0.508955,0.555714,0.485799,0.56182,0.521818,0.52111,0.480476,0.486073,0.411718,0.391246
0.225398,0.182813,0.287196,0.370445,0.48809,0.444045,0.500866,0.605353,0.512483,0.581798,0.499163,0.553952,0.496997,0.50723,0.466505,0.426464,0.369237,0.366709
0.221828,0.189655,0.267624,0.323186,0.39659,0.398162,0.53266,0.633322,0.564542,0.602774,0.546225,0.596303,0.537126,0.540607,0.527556,0.487352,0.417892,0.399943
0.184593,0.195225,0.243797,0.373758,0.305231,0.313664,0.428742,0.624564,0.527508,0.59103,0.510922,0.519228,0.521485,0.469471,0.491789,0.461092,0.339876,0.336394
0.192206,0.237552,0.273569,0.382747,0.318298,0.324168,0.448134,0.607029,0.545287,0.59916,0.519676,0.536628,0.52437,0.469637,0.498538,0.472611,0.316579,0.312124
0.190818,0.2446,0.278103,0.420153,0.350856,0.359829,0.460192,0.605521,0.539353,0.592465,0.506718,0.530887,0.524518,0.47326,0.500622,0.481843,0.332203,0.350419
0.207066,0.234424,0.278998,0.423172,0.358966,0.36382,0.506114,0.58755,0.540134,0.590407,0.505479,0.507343,0.510631,0.472557,0.502608,0.475526,0.321066,0.316995
0.199071,0.219481,0.256648,0.431241,0.388415,0.407696,0.52144,0.619055,0.554389,0.608412,0.51242,0.531909,0.533864,0.490675,0.515348,0.482945,0.356129,0.354341
0.182378,0.221645,0.260956,0.428568,0.371995,0.410266,0.512824,0.573656,0.509941,0.564574,0.480532,0.510833,0.524866,0.485863,0.479165,0.432688,0.306168,0.281671
0.200201,0.215429,0.243343,0.320361,0.325403,0.348796,0.499658,0.641015,0.613313,0.650334,0.550021,0.56361,0.55149,0.519969,0.560346,0.547501,0.401873,0.381405
0.191385,0.241826,0.266069,0.44475,0.357277,0.385249,0.517529,0.602988,0.542187,0.596457,0.506986,0.54709,0.552292,0.512717,0.515332,0.49179,0.379659,0.339439
0.201746,0.233372,0.270857,0.44182,0.401298,0.420124,0.528816,0.592943,0.520141,0.577831,0.484284,0.511503,0.527992,0.500789,0.482216,0.4585,0.362436,0.337837
0.194909,0.206716,0.268183,0.438922,0.391832,0.410593,0.531048,0.57815,0.542817,0.601706,0.514105,0.532245,0.547106,0.511121,0.519687,0.50304,0.413068,0.392424
0.210693,0.205365,0.269187,0.37629,0.384335,0.411502,0.53122,0.601624,0.553666,0.612991,0.519835,0.544593,0.55502,0.522558,0.523313,0.521358,0.448987,0.441292
0.200485,0.209212,0.263401,0.435827,0.406679,0.407812,0.553696,0.584845,0.533403,0.58544,0.504807,0.522163,0.53575,0.515988,0.492308,0.490718,0.39675,0.341921
0.207498,0.203075,0.260341,0.392959,0.426631,0.406028,0.566833,0.607415,0.569024,0.606393,0.535285,0.546318,0.543884,0.526219,0.499635,0.50573,0.403199,0.332866
0.19257,0.177758,0.251544,0.419875,0.43838,0.415975,0.569703,0.607956,0.555769,0.591672,0.523648,0.537187,0.539225,0.52243,0.478953,0.469508,0.345705,0.301504
0.196358,0.177031,0.249173,0.361006,0.418645,0.391083,0.55901,0.606147,0.556711,0.584088,0.525903,0.536223,0.528404,0.522202,0.47872,0.483774,0.360703,0.316578
0.192673,0.195167,0.25789,0.39596,0.367794,0.34818,0.521785,0.588731,0.53906,0.578252,0.513848,0.520005,0.51912,0.52748,0.461413,0.470368,0.318758,0.288827
0.187943,0.188091,0.259598,0.34019,0.310081,0.290054,0.433836,0.551802,0.624209,0.643694,0.572087,0.685908,0.601549,0.494742,0.549244,0.581548,0.331273,0.317937
