ExG0407,ExG0412,ExG0415,ExG0427,ExG0506,ExG0516,ExG0520,ExG0523,ExG0527,ExG0531,ExG0602,ExG0614,ExG0617,ExG0620,ExG0623,ExG0627,ExG0630,ExG0713,ExG0716,ExG0719,ExG0721,ExG0725,ExG0728,ExG0802,ExG0808,ExG0812,ExG0818
-0.009766,0.002723,-0.000492,0.086182,0.133811,0.148048,0.223259,0.340328,0.175046,0.294643,0.47839,0.129536,0.195881,0.250373,0.251596,0.246683,0.302494,0.294602,0.231942,0.151467,0.255056,0.205599,0.210784,0.106796,0.039352,-0.027479,-0.02478
-0.012739,-0.001261,-0.003548,0.029995,0.079832,0.148287,0.200614,0.313193,0.203939,0.327342,0.525493,0.289145,0.315762,0.309734,0.325294,0.338254,0.312803,0.354856,0.300008,0.204248,0.294517,0.246953,0.249626,0.131686,0.051526,-0.026812,-0.03493
-0.013565,-0.004132,-0.003885,0.004478,0.041208,0.16305,0.208857,0.311256,0.219503,0.33034,0.541626,0.424239,0.437027,0.435891,0.43692,0.424027,0.430428,0.412106,0.368676,0.276098,0.342659,0.307183,0.286318,0.163126,0.078288,-0.028048,-0.029122
-0.014731,-0.006828,-0.004877,-0.000631,0.062644,0.122363,0.1639,0.265684,0.188135,0.296926,0.498772,0.416401,0.431604,0.433491,0.439825,0.418193,0.411846,0.386338,0.3537,0.239506,0.308614,0.275768,0.274282,0.146569,0.061182,-0.040997,-0.034565
-0.012479,-0.005496,0.000323,0.002942,0.048574,0.149379,0.183919,0.270781,0.208432,0.287786,0.482212,0.47383,0.474325,0.49082,0.490045,0.448647,0.447331,0.430001,0.370249,0.249213,0.313527,0.2758,0.266991,0.140936,0.062258,-0.032676,-0.041576
-0.013096,-0.008808,-0.007337,-0.002029,0.051095,0.12593,0.16927,0.289142,0.193545,0.29163,0.507597,0.279204,0.309663,0.335412,0.339428,0.299618,0.330876,0.314856,0.254291,0.156785,0.243528,0.201213,0.205447,0.091097,0.035545,-0.035164,-0.030822
-0.012435,-0.006659,-0.005088,0.003657,0.040738,0.154217,0.203651,0.29385,0.215481,0.296557,0.505352,0.449455,0.480874,0.485419,0.476207,0.452674,0.403517,0.441392,0.363259,0.249406,0.341144,0.289229,0.282989,0.14471,0.082701,-0.034609,-0.040894
-0.013378,-0.007666,-0.00427,0.003351,0.065769,0.150926,0.190273,0.272546,0.196391,0.26046,0.494594,0.47444,0.488947,0.508067,0.468311,0.466273,0.441745,0.42673,0.362818,0.249165,0.323989,0.273326,0.264897,0.126344,0.070684,-0.037017,-0.044819
-0.014858,-0.00933,-0.004809,-0.00265,0.040454,0.128011,0.169619,0.241608,0.19147,0.246973,0.426822,0.489299,0.493859,0.510975,0.453265,0.482742,0.451153,0.421386,0.367625,0.254762,0.332353,0.265318,0.260804,0.114075,0.038558,-0.038589,-0.040445
-0.01588,-0.010592,-0.006226,-0.004841,0.042418,0.118692,0.152012,0.22226,0.179731,0.237837,0.428114,0.44417,0.467102,0.472689,0.433057,0.461257,0.446679,0.422525,0.352478,0.216024,0.303703,0.222212,0.232725,0.089243,0.032224,-0.036958,-0.043973
-0.016053,-0.009817,-0.0019,-0.00347,0.026377,0.105766,0.124054,0.19262,0.146443,0.209036,0.404709,0.365802,0.414058,0.427993,0.413791,0.395084,0.430931,0.420368,0.353552,0.235083,0.322041,0.237393,0.258522,0.117944,0.046653,-0.030224,-0.045241
-0.016587,-0.008396,-0.005152,-0.003403,0.029676,0.082907,0.096332,0.155084,0.114373,0.177641,0.368239,0.333417,0.390433,0.405486,0.391077,0.383259,0.381821,0.403159,0.331182,0.222903,0.325318,0.236034,0.252318,0.125483,0.046862,-0.033123,-0.050465
