max_value,max_growth_rate,half_max_growth_rate,first_day_half_max,second_day_half_max,duration_half_max
0.9782860886392011,0.02964333439825495,0.014872567952818648,45.0,74.0,30.0
0.9810660934298155,0.03201672305053194,0.01604646755453006,44.0,71.0,28.0
0.9145053940262837,0.0306667426730467,0.01535966883898837,46.0,72.0,27.0
0.7642593309758547,0.027888485437665977,0.013948162701476256,55.0,79.0,25.0
0.7846769580043637,0.02556178077539606,0.012787945544548065,56.0,83.0,28.0
0.8658600018622701,0.02655186345790206,0.013297356385433539,51.0,80.0,30.0
0.873317271743592,0.02887587596811514,0.0144525870914445,50.0,77.0,28.0
1.0101613939426326,0.03057232092484874,0.015333875416916228,46.0,75.0,30.0
0.9983325372895713,0.03258704678321678,0.016322916773352802,47.0,74.0,28.0
0.9519108580714924,0.0322109549866223,0.01612638761063097,47.0,73.0,27.0
0.907030534399207,0.03402960901954799,0.01702418513854152,49.0,72.0,24.0
0.707559749555486,0.02438533233672935,0.012199263037970835,53.0,79.0,27.0
0.7045633089303279,0.024861453395974564,0.012434255550393899,56.0,82.0,27.0
0.7414240048559759,0.023489459793912815,0.011755523892394266,54.0,82.0,29.0
0.8108844629970956,0.029065694268082254,0.014537999299529397,54.0,79.0,26.0
0.7768435743428251,0.029145274665909326,0.014574896121362275,57.0,81.0,25.0
0.9828530831941461,0.033435343022025776,0.016735614217483333,49.0,74.0,26.0
0.9439911208678483,0.03017373900737752,0.015112205550751184,48.0,76.0,29.0
0.942297263202069,0.030584311000447784,0.015313411253647545,49.0,76.0,28.0
0.8059834268215064,0.03189339758957743,0.015948885918995504,55.0,77.0,23.0
0.7463369232702555,0.026783533335628107,0.013393866028933095,60.0,85.0,26.0
0.9624393095671342,0.033218017225777885,0.016621077804712732,51.0,76.0,26.0
0.9250186182862322,0.03198001977122722,0.01600202649265625,50.0,76.0,27.0
0.9394430711957646,0.03199263334807689,0.016008410427689964,51.0,77.0,27.0
0.946041626137243,0.03236062323663802,0.016195154312321318,49.0,75.0,27.0
0.8619176780762132,0.030527272404379246,0.015272513432595197,51.0,76.0,26.0
0.8029159446826513,0.030213262114386907,0.015110715533602891,53.0,77.0,25.0
0.7418232608937717,0.022719597397857783,0.011371485067917023,55.0,84.0,30.0
0.6995634771227183,0.02439689517075294,0.0122024958975787,56.0,81.0,26.0
0.7456866471555903,0.021388809612332693,0.010707242813150329,58.0,89.0,32.0
0.8696500585118169,0.026296084643107065,0.01317432951173801,50.0,79.0,30.0
0.5529835501121108,0.01647860226050568,0.008251325769275245,53.0,83.0,31.0
0.8050941167204555,0.022846529196263177,0.01145426799757784,50.0,82.0,33.0
0.9198851941394738,0.0286907205493403,0.014372043581818185,49.0,77.0,29.0
0.8937561961054941,0.031126600935627025,0.015573959434707036,51.0,76.0,26.0
0.913809103694575,0.02810268556752149,0.014082294237264875,48.0,77.0,30.0
0.6766225639605934,0.024337088705417287,0.012171253285047208,57.0,82.0,26.0
0.9223853895145335,0.031977891390422286,0.01600264818391945,49.0,75.0,27.0
0.9023116256681386,0.03356120234498938,0.016790470334073968,48.0,72.0,25.0
0.906129328866842,0.0329196132298204,0.01647076408591795,49.0,73.0,25.0
0.9901702088549472,0.03367938228304723,0.016858929536905584,48.0,74.0,27.0
0.9395555285473735,0.03285953167897482,0.016443733578792537,49.0,74.0,26.0
0.9355185270852441,0.031157118579594467,0.015601080882582928,47.0,74.0,28.0
0.8914496142670851,0.029145680230380222,0.01459949754119901,46.0,73.0,28.0
0.9526357543611957,0.033012812372668066,0.016524769858936438,47.0,73.0,27.0
0.8050235322449645,0.02661819170635127,0.013318142065651298,54.0,80.0,27.0
0.6807610737571741,0.02071531643443869,0.010375191773315078,51.0,80.0,30.0
